,player_id,player,all_nba
9905,1812,Abdel Nader,0
9938,1815,Larry Nance,0
9943,1816,Shabazz Napier,0
10057,1838,Raul Neto,0
10097,1844,Georges Niang,0
10130,1852,Joakim Noah,0
10144,1855,Nerlens Noel,0
10204,1863,Dirk Nowitzki,0
10206,1864,Frank Ntilikina,0
10208,1865,James Nunnally,0
10213,1866,Jusuf Nurkic,0
10217,1868,David Nwaba,0
10280,1882,Semi Ojeleye,0
10294,1884,Jahlil Okafor,0
10295,1885,Elie Okobo,0
10296,1886,Josh Okogie,0
10320,1889,Victor Oladipo,0
10387,1897,Kelly Olynyk,0
10426,1900,Royce O'Neale,0
10438,1903,Kyle O'Quinn,0
10453,1907,Cedi Osman,0
10473,1911,Kelly Oubre,0
10546,1922,Zaza Pachulia,0
10634,1935,Jabari Parker,0
10635,1937,Tony Parker,0
10652,1939,Chandler Parsons,0
10677,1944,Patrick Patterson,0
10679,1946,Justin Patton,0
10694,1948,Chris Paul,0
10727,1952,Cameron Payne,0
10751,1954,Elfrid Payton,0
10752,1955,Gary Payton,0
11013,1992,Theo Pinson,0
11057,2000,Mason Plumlee,0
11058,2001,Miles Plumlee,0
11077,2007,Jakob Poltl,0
11099,2009,Quincy Pondexter,0
11134,2014,Otto Porter,0
11138,2016,Bobby Portis,0
11189,2022,Dwight Powell,0
11190,2025,Norman Powell,0
11193,2027,Alex Poythress,0
11298,2046,Zhou Qi,0
11311,2050,Ivan Rabb,0
11361,2061,Chasson Randle,0
11362,2062,Julius Randle,0
11470,2078,J.J. Redick,0
11478,2079,Davon Reed,0
11529,2093,Cameron Reynolds,0
11605,2101,Josh Richardson,0
11606,2102,Malachi Richardson,0
11671,2112,Austin Rivers,0
11828,2129,Devin Robinson,0
11829,2130,Duncan Robinson,0
11830,2132,Glenn Robinson,0
11831,2135,Jerome Robinson,0
11832,2137,Mitchell Robinson,0
11896,2151,Rajon Rondo,0
11945,2153,Derrick Rose,0
11959,2158,Terrence Ross,0
11992,2168,Terry Rozier,0
12000,2169,Ricky Rubio,0
12068,2180,D'Angelo Russell,0
12078,2183,Domantas Sabonis,0
12130,2190,Brandon Sampson,0
12131,2191,JaKarr Sampson,0
12166,2203,Dario Saric,0
12173,2207,Tomas Satoransky,0
12253,2221,Dennis Schroder,0
12302,2228,Mike Scott,0
12327,2233,Thabo Sefolosha,0
12343,2236,Wayne Selden,0
12378,2244,Collin Sexton,0
12387,2247,Landry Shamet,0
12425,2259,Iman Shumpert,0
12431,2261,Pascal Siakam,0
12432,2262,Jordan Sibert,0
12473,2267,Ben Simmons,0
12474,2270,Jonathon Simmons,0
12475,2271,Kobi Simmons,0
12477,2274,Anfernee Simons,0
12558,2295,Marcus Smart,0
12752,2300,Dennis Smith,0
12753,2304,Ish Smith,0
12754,2305,J.R. Smith,0
12755,2307,Jason Smith,0
12756,2328,Zhaire Smith,0
12781,2331,Tony Snell,0
12813,2338,Ray Spalding,0
12842,2343,Omari Spellman,0
12927,2354,Nik Stauskas,0
12941,2357,D.J. Stephens,0
12950,2360,Lance Stephenson,0
13154,2395,Edmond Sumner,0
13188,2402,Caleb Swanigan,0
13236,2416,Jayson Tatum,0
13292,2432,Jeff Teague,0
13317,2436,Garrett Temple,0
13319,2437,Milos Teodosic,0
13320,2438,Jared Terrell,0
13343,2440,Emanuel Terry,0
13350,2443,Daniel Theis,0
13470,2452,Isaiah Thomas,0
13471,2459,Khyri Thomas,0
13472,2461,Lance Thomas,0
13539,2474,Klay Thompson,0
13540,2479,Tristan Thompson,0
13562,2483,Sindarius Thornwell,0
13642,2492,Anthony Tolliver,0
13673,2501,Karl-Anthony Towns,0
13690,2503,Gary Trent,0
13694,2505,Allonzo Trier,0
13740,2512,P.J. Tucker,0
13806,2519,Evan Turner,0
13807,2523,Myles Turner,0
13824,2529,Ekpe Udoh,0
13849,2533,Tyler Ulis,0
13862,2537,Jonas Valanciunas,0
13875,2541,Jarred Vanderbilt,0
13894,2545,Fred VanVleet,0
13994,2565,Noah Vonleh,0
14027,2572,Nikola Vucevic,0
14055,2574,Dwyane Wade,0
14068,2579,Moritz Wagner,0
14080,2580,Dion Waiters,0
14132,2585,Kemba Walker,1
14133,2587,Lonnie Walker,0
14142,2589,John Wall,0
14197,2594,Tyrone Wallace,0
14201,2596,Taurean Prince,0
14221,2601,Brad Wanamaker,0
14240,2605,T.J. Warren,0
14255,2610,Julian Washburn,0
14264,2615,Yuta Watanabe,0
14381,2638,Thomas Welsh,0
14479,2648,Russell Westbrook,1
14536,2656,Derrick White,0
14537,2660,Okaro White,0
14548,2669,Hassan Whiteside,0
14575,2674,Andrew Wiggins,0
14996,2690,Alan Williams,0
14997,2694,C.J. Williams,0
14998,2711,Johnathan Williams,0
14999,2715,Kenrich Williams,0
15000,2718,Lou Williams,0
15001,2720,Marvin Williams,0
15002,2730,Robert Williams,0
15003,2739,Troy Williams,0
15052,2745,D.J. Wilson,0
15080,2756,Justise Winslow,0
15136,2767,Christian Wood,0
15258,2784,Delon Wright,0
15265,2793,Guerschon Yabusele,0
15317,2801,Nick Young,0
15318,2804,Thaddeus Young,0
15319,2806,Trae Young,0
15333,2808,Cody Zeller,0
15334,2810,Tyler Zeller,0
15350,2818,Ante Zizic,0
15354,2820,Ivica Zubac,0
