,id_odsp,link_odsp,adv_stats,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,odd_over,odd_under,odd_bts,odd_bts_n,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
197899,KAMH6LG9/,/soccer/spain/primera-division-2012-2013/mallorca-barcelona-KAMH6LG9/,True,2012-11-11,SP1,2013,spain,Mallorca,Barcelona,2,4,14.0,7.6,1.25,,,,,KAMH6LG951,51.0,56.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Away,Barcelona,Mallorca,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
197900,KAMH6LG9/,/soccer/spain/primera-division-2012-2013/mallorca-barcelona-KAMH6LG9/,True,2012-11-11,SP1,2013,spain,Mallorca,Barcelona,2,4,14.0,7.6,1.25,,,,,KAMH6LG952,52.0,56.0,Attempt missed. Lionel Messi (Barcelona) left footed shot from outside the box is just a bit too high from a direct free kick.,Attempt,,Away,Barcelona,Mallorca,lionel messi,,,,Bit too high,Off target,0.0,Outside the box,left foot,None,Free kick,0.0
197913,KAMH6LG9/,/soccer/spain/primera-division-2012-2013/mallorca-barcelona-KAMH6LG9/,True,2012-11-11,SP1,2013,spain,Mallorca,Barcelona,2,4,14.0,7.6,1.25,,,,,KAMH6LG965,65.0,70.0,"Goal!  Mallorca 2, Barcelona 4. Lionel Messi (Barcelona) left footed shot from the centre of the box to the top left corner. Assisted by Alexis SA¡nchez.",Attempt,Key Pass,Away,Barcelona,Mallorca,lionel messi,alexis sanchez,,,Top left corner,On target,1.0,Centre of the box,left foot,Pass,Open play,0.0
197923,KAMH6LG9/,/soccer/spain/primera-division-2012-2013/mallorca-barcelona-KAMH6LG9/,True,2012-11-11,SP1,2013,spain,Mallorca,Barcelona,2,4,14.0,7.6,1.25,,,,,KAMH6LG975,75.0,77.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Away,Barcelona,Mallorca,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
197931,KAMH6LG9/,/soccer/spain/primera-division-2012-2013/mallorca-barcelona-KAMH6LG9/,True,2012-11-11,SP1,2013,spain,Mallorca,Barcelona,2,4,14.0,7.6,1.25,,,,,KAMH6LG983,83.0,88.0,"Attempt missed. Lionel Messi (Barcelona) left footed shot from the centre of the box is close, but misses to the left. Assisted by Alexis SA¡nchez.",Attempt,Key Pass,Away,Barcelona,Mallorca,lionel messi,alexis sanchez,,,Misses to the left,Off target,0.0,Centre of the box,left foot,Pass,Open play,0.0
201137,zmWaJb0F/,/soccer/spain/primera-division-2012-2013/barcelona-zaragoza-zmWaJb0F/,True,2012-11-17,SP1,2013,spain,Barcelona,Real Zaragoza,3,1,1.09,15.73,34.0,,,,,zmWaJb0F1,1.0,2.0,"Attempt missed. Lionel Messi (Barcelona) left footed shot from the centre of the box is close, but misses to the left. Assisted by Jordi Alba.",Attempt,Key Pass,Home,Barcelona,Real Zaragoza,lionel messi,jordi alba,,,Misses to the left,Off target,0.0,Centre of the box,left foot,Pass,Open play,0.0
201151,zmWaJb0F/,/soccer/spain/primera-division-2012-2013/barcelona-zaragoza-zmWaJb0F/,True,2012-11-17,SP1,2013,spain,Barcelona,Real Zaragoza,3,1,1.09,15.73,34.0,,,,,zmWaJb0F15,15.0,16.0,"Goal!  Barcelona 1, Real Zaragoza 0. Lionel Messi (Barcelona) left footed shot from the centre of the box to the bottom left corner. Assisted by Jordi Alba.",Attempt,Key Pass,Home,Barcelona,Real Zaragoza,lionel messi,jordi alba,,,Bottom left corner,On target,1.0,Centre of the box,left foot,Pass,Open play,0.0
201155,zmWaJb0F/,/soccer/spain/primera-division-2012-2013/barcelona-zaragoza-zmWaJb0F/,True,2012-11-17,SP1,2013,spain,Barcelona,Real Zaragoza,3,1,1.09,15.73,34.0,,,,,zmWaJb0F19,19.0,17.0,Lionel Messi (Barcelona) wins a free kick on the right wing.,Free kick won,,Home,Barcelona,Real Zaragoza,lionel messi,,,,,,0.0,Right wing,,None,,0.0
201174,zmWaJb0F/,/soccer/spain/primera-division-2012-2013/barcelona-zaragoza-zmWaJb0F/,True,2012-11-17,SP1,2013,spain,Barcelona,Real Zaragoza,3,1,1.09,15.73,34.0,,,,,zmWaJb0F38,38.0,39.0,"Offside, Barcelona. Xavi tries a through ball, but Lionel Messi is caught offside.",Offside,Failed through ball,Home,Barcelona,Real Zaragoza,lionel messi,xavi,,,,,0.0,,,None,,0.0
201181,zmWaJb0F/,/soccer/spain/primera-division-2012-2013/barcelona-zaragoza-zmWaJb0F/,True,2012-11-17,SP1,2013,spain,Barcelona,Real Zaragoza,3,1,1.09,15.73,34.0,,,,,zmWaJb0F45,45.0,54.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Real Zaragoza,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
201186,zmWaJb0F/,/soccer/spain/primera-division-2012-2013/barcelona-zaragoza-zmWaJb0F/,True,2012-11-17,SP1,2013,spain,Barcelona,Real Zaragoza,3,1,1.09,15.73,34.0,,,,,zmWaJb0F50,50.0,60.0,"Goal!  Barcelona 3, Real Zaragoza 1. Lionel Messi (Barcelona) left footed shot from outside the box to the bottom left corner. Assisted by MartA­n Montoya.",Attempt,Key Pass,Home,Barcelona,Real Zaragoza,lionel messi,martin montoya,,,Bottom left corner,On target,1.0,Outside the box,left foot,Pass,Open play,0.0
205490,4QIx4vIP/,/soccer/spain/primera-division-2012-2013/levante-barcelona-4QIx4vIP/,True,2012-11-25,SP1,2013,spain,Levante,Barcelona,0,4,12.9,7.0,1.29,,,,,4QIx4vIP12,12.0,22.0,"Attempt missed. Lionel Messi (Barcelona) left footed shot from outside the box is close, but misses to the right. Assisted by Pedro.",Attempt,Key Pass,Away,Barcelona,Levante,lionel messi,pedro,,,Misses to the right,Off target,0.0,Outside the box,left foot,Pass,Open play,0.0
205503,4QIx4vIP/,/soccer/spain/primera-division-2012-2013/levante-barcelona-4QIx4vIP/,True,2012-11-25,SP1,2013,spain,Levante,Barcelona,0,4,12.9,7.0,1.29,,,,,4QIx4vIP25,25.0,39.0,Attempt blocked. Lionel Messi (Barcelona) left footed shot from outside the box is blocked. Assisted by Xavi.,Attempt,Key Pass,Away,Barcelona,Levante,lionel messi,xavi,,,Blocked,Blocked,0.0,Outside the box,left foot,Pass,Open play,0.0
205512,4QIx4vIP/,/soccer/spain/primera-division-2012-2013/levante-barcelona-4QIx4vIP/,True,2012-11-25,SP1,2013,spain,Levante,Barcelona,0,4,12.9,7.0,1.29,,,,,4QIx4vIP34,34.0,47.0,"Goal!  Levante 0, Barcelona 1. Lionel Messi (Barcelona) left footed shot from the centre of the box to the bottom left corner. Assisted by AndrA©s Iniesta with a through ball.",Attempt,Key Pass,Away,Barcelona,Levante,lionel messi,andres iniesta,,,Bottom left corner,On target,1.0,Centre of the box,left foot,Through ball,Open play,0.0
205514,4QIx4vIP/,/soccer/spain/primera-division-2012-2013/levante-barcelona-4QIx4vIP/,True,2012-11-25,SP1,2013,spain,Levante,Barcelona,0,4,12.9,7.0,1.29,,,,,4QIx4vIP36,36.0,52.0,"Goal!  Levante 0, Barcelona 2. Lionel Messi (Barcelona) left footed shot from the centre of the box to the centre of the goal. Assisted by AndrA©s Iniesta.",Attempt,Key Pass,Away,Barcelona,Levante,lionel messi,andres iniesta,,,Centre of the goal,On target,1.0,Centre of the box,left foot,Pass,Open play,0.0
205550,4QIx4vIP/,/soccer/spain/primera-division-2012-2013/levante-barcelona-4QIx4vIP/,True,2012-11-25,SP1,2013,spain,Levante,Barcelona,0,4,12.9,7.0,1.29,,,,,4QIx4vIP72,72.0,90.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from outside the box is saved in the centre of the goal. Assisted by Pedro.,Attempt,Key Pass,Away,Barcelona,Levante,lionel messi,pedro,,,Centre of the goal,On target,0.0,Outside the box,left foot,Pass,Open play,0.0
209089,0QBZCHft/,/soccer/spain/primera-division-2012-2013/barcelona-ath-bilbao-0QBZCHft/,True,2012-12-01,SP1,2013,spain,Barcelona,Athletic Bilbao,5,1,1.11,13.0,31.09,,,,,0QBZCHft12,12.0,25.0,"Goal!  Barcelona 2, Athletic Bilbao 0. Lionel Messi (Barcelona) left footed shot from the centre of the box to the high centre of the goal. Assisted by Xavi with a through ball.",Attempt,Key Pass,Home,Barcelona,Athletic Bilbao,lionel messi,xavi,,,,On target,1.0,Centre of the box,left foot,Through ball,Open play,0.0
209094,0QBZCHft/,/soccer/spain/primera-division-2012-2013/barcelona-ath-bilbao-0QBZCHft/,True,2012-12-01,SP1,2013,spain,Barcelona,Athletic Bilbao,5,1,1.11,13.0,31.09,,,,,0QBZCHft17,17.0,31.0,Attempt blocked. Lionel Messi (Barcelona) left footed shot from outside the box is blocked. Assisted by Gerard PiquA©.,Attempt,Key Pass,Home,Barcelona,Athletic Bilbao,lionel messi,gerard pique,,,Blocked,Blocked,0.0,Outside the box,left foot,Pass,Open play,0.0
209104,0QBZCHft/,/soccer/spain/primera-division-2012-2013/barcelona-ath-bilbao-0QBZCHft/,True,2012-12-01,SP1,2013,spain,Barcelona,Athletic Bilbao,5,1,1.11,13.0,31.09,,,,,0QBZCHft27,27.0,36.0,"Attempt missed. Lionel Messi (Barcelona) left footed shot from outside the box is close, but misses the top left corner from a direct free kick.",Attempt,,Home,Barcelona,Athletic Bilbao,lionel messi,,,,Top left corner,Off target,0.0,Outside the box,left foot,None,Free kick,0.0
209111,0QBZCHft/,/soccer/spain/primera-division-2012-2013/barcelona-ath-bilbao-0QBZCHft/,True,2012-12-01,SP1,2013,spain,Barcelona,Athletic Bilbao,5,1,1.11,13.0,31.09,,,,,0QBZCHft34,34.0,45.0,Lionel Messi (Barcelona) hits the bar with a left footed shot from the left side of the six yard box. Assisted by Jordi Alba.,Attempt,Key Pass,Home,Barcelona,Athletic Bilbao,lionel messi,jordi alba,,,Hits the bar,Hit the bar,0.0,Left side of the six yard box,left foot,Pass,Open play,0.0
209117,0QBZCHft/,/soccer/spain/primera-division-2012-2013/barcelona-ath-bilbao-0QBZCHft/,True,2012-12-01,SP1,2013,spain,Barcelona,Athletic Bilbao,5,1,1.11,13.0,31.09,,,,,0QBZCHft40,40.0,54.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from the centre of the box is saved in the bottom left corner. Assisted by Sergio Busquets.,Attempt,Key Pass,Home,Barcelona,Athletic Bilbao,lionel messi,sergio busquets,,,Bottom left corner,On target,0.0,Centre of the box,left foot,Pass,Open play,0.0
209133,0QBZCHft/,/soccer/spain/primera-division-2012-2013/barcelona-ath-bilbao-0QBZCHft/,True,2012-12-01,SP1,2013,spain,Barcelona,Athletic Bilbao,5,1,1.11,13.0,31.09,,,,,0QBZCHft56,56.0,70.0,"Goal!  Barcelona 5, Athletic Bilbao 1. Lionel Messi (Barcelona) right footed shot from the centre of the box to the top right corner.",Attempt,,Home,Barcelona,Athletic Bilbao,lionel messi,,,,Top right corner,On target,1.0,Centre of the box,right foot,None,Open play,0.0
209149,0QBZCHft/,/soccer/spain/primera-division-2012-2013/barcelona-ath-bilbao-0QBZCHft/,True,2012-12-01,SP1,2013,spain,Barcelona,Athletic Bilbao,5,1,1.11,13.0,31.09,,,,,0QBZCHft72,72.0,87.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Athletic Bilbao,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
209150,0QBZCHft/,/soccer/spain/primera-division-2012-2013/barcelona-ath-bilbao-0QBZCHft/,True,2012-12-01,SP1,2013,spain,Barcelona,Athletic Bilbao,5,1,1.11,13.0,31.09,,,,,0QBZCHft73,73.0,90.0,Attempt missed. Lionel Messi (Barcelona) header from the centre of the box is too high. Assisted by Gerard PiquA© following a fast break.,Attempt,Key Pass,Home,Barcelona,Athletic Bilbao,lionel messi,gerard pique,,,Too high,Off target,0.0,Centre of the box,head,Pass,Open play,1.0
209153,0QBZCHft/,/soccer/spain/primera-division-2012-2013/barcelona-ath-bilbao-0QBZCHft/,True,2012-12-01,SP1,2013,spain,Barcelona,Athletic Bilbao,5,1,1.11,13.0,31.09,,,,,0QBZCHft76,76.0,90.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Athletic Bilbao,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
215126,dhRDQzPu/,/soccer/spain/primera-division-2012-2013/betis-barcelona-dhRDQzPu/,True,2012-12-09,SP1,2013,spain,Real Betis,Barcelona,1,2,11.59,6.4,1.32,,,,,dhRDQzPu9,9.0,16.0,"Goal!  Real Betis 0, Barcelona 1. Lionel Messi (Barcelona) left footed shot from the centre of the box to the bottom right corner. Assisted by AndrA©s Iniesta.",Attempt,Key Pass,Away,Barcelona,Real Betis,lionel messi,andres iniesta,,,Bottom right corner,On target,1.0,Centre of the box,left foot,Pass,Open play,0.0
215133,dhRDQzPu/,/soccer/spain/primera-division-2012-2013/betis-barcelona-dhRDQzPu/,True,2012-12-09,SP1,2013,spain,Real Betis,Barcelona,1,2,11.59,6.4,1.32,,,,,dhRDQzPu16,16.0,25.0,"Goal!  Real Betis 0, Barcelona 2. Lionel Messi (Barcelona) left footed shot from the left side of the box to the bottom right corner. Assisted by AndrA©s Iniesta.",Attempt,Key Pass,Away,Barcelona,Real Betis,lionel messi,andres iniesta,,,Bottom right corner,On target,1.0,Left side of the box,left foot,Pass,Open play,0.0
215138,dhRDQzPu/,/soccer/spain/primera-division-2012-2013/betis-barcelona-dhRDQzPu/,True,2012-12-09,SP1,2013,spain,Real Betis,Barcelona,1,2,11.59,6.4,1.32,,,,,dhRDQzPu21,21.0,30.0,"Offside, Barcelona. Xavi tries a through ball, but Lionel Messi is caught offside.",Offside,Failed through ball,Away,Barcelona,Real Betis,lionel messi,xavi,,,,,0.0,,,None,,0.0
215153,dhRDQzPu/,/soccer/spain/primera-division-2012-2013/betis-barcelona-dhRDQzPu/,True,2012-12-09,SP1,2013,spain,Real Betis,Barcelona,1,2,11.59,6.4,1.32,,,,,dhRDQzPu36,36.0,44.0,Attempt blocked. Lionel Messi (Barcelona) left footed shot from outside the box is blocked. Assisted by Sergio Busquets with a headed pass.,Attempt,Key Pass,Away,Barcelona,Real Betis,lionel messi,sergio busquets,,,Blocked,Blocked,0.0,Outside the box,left foot,Headed pass,Open play,0.0
215202,dhRDQzPu/,/soccer/spain/primera-division-2012-2013/betis-barcelona-dhRDQzPu/,True,2012-12-09,SP1,2013,spain,Real Betis,Barcelona,1,2,11.59,6.4,1.32,,,,,dhRDQzPu85,85.0,83.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from the centre of the box is saved in the bottom left corner. Assisted by Thiago AlcA¡ntara.,Attempt,Key Pass,Away,Barcelona,Real Betis,lionel messi,thiago alcantara,,,Bottom left corner,On target,0.0,Centre of the box,left foot,Pass,Open play,0.0
215210,dhRDQzPu/,/soccer/spain/primera-division-2012-2013/betis-barcelona-dhRDQzPu/,True,2012-12-09,SP1,2013,spain,Real Betis,Barcelona,1,2,11.59,6.4,1.32,,,,,dhRDQzPu93,93.0,87.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Away,Barcelona,Real Betis,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
215212,dhRDQzPu/,/soccer/spain/primera-division-2012-2013/betis-barcelona-dhRDQzPu/,True,2012-12-09,SP1,2013,spain,Real Betis,Barcelona,1,2,11.59,6.4,1.32,,,,,dhRDQzPu95,95.0,89.0,Hand ball by Lionel Messi (Barcelona).,Hand ball,,Away,Barcelona,Real Betis,lionel messi,,,,,,0.0,,,None,,0.0
220639,ClHxLWhH/,/soccer/spain/primera-division-2012-2013/barcelona-atl-madrid-ClHxLWhH/,True,2012-12-16,SP1,2013,spain,Barcelona,Atletico Madrid,4,1,1.37,5.9,9.19,,,,,ClHxLWhH9,9.0,7.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Atletico Madrid,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
220649,ClHxLWhH/,/soccer/spain/primera-division-2012-2013/barcelona-atl-madrid-ClHxLWhH/,True,2012-12-16,SP1,2013,spain,Barcelona,Atletico Madrid,4,1,1.37,5.9,9.19,,,,,ClHxLWhH19,19.0,22.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Atletico Madrid,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
220650,ClHxLWhH/,/soccer/spain/primera-division-2012-2013/barcelona-atl-madrid-ClHxLWhH/,True,2012-12-16,SP1,2013,spain,Barcelona,Atletico Madrid,4,1,1.37,5.9,9.19,,,,,ClHxLWhH20,20.0,23.0,Attempt blocked. Lionel Messi (Barcelona) left footed shot from outside the box is blocked.,Attempt,,Home,Barcelona,Atletico Madrid,lionel messi,,,,Blocked,Blocked,0.0,Outside the box,left foot,None,Open play,0.0
220658,ClHxLWhH/,/soccer/spain/primera-division-2012-2013/barcelona-atl-madrid-ClHxLWhH/,True,2012-12-16,SP1,2013,spain,Barcelona,Atletico Madrid,4,1,1.37,5.9,9.19,,,,,ClHxLWhH28,28.0,28.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Atletico Madrid,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
220659,ClHxLWhH/,/soccer/spain/primera-division-2012-2013/barcelona-atl-madrid-ClHxLWhH/,True,2012-12-16,SP1,2013,spain,Barcelona,Atletico Madrid,4,1,1.37,5.9,9.19,,,,,ClHxLWhH29,29.0,29.0,Attempt missed. Lionel Messi (Barcelona) left footed shot from outside the box is high and wide to the left. Assisted by Xavi from a direct free kick.,Attempt,Key Pass,Home,Barcelona,Atletico Madrid,lionel messi,xavi,,,High and wide,Off target,0.0,Outside the box,left foot,Pass,Free kick,0.0
220673,ClHxLWhH/,/soccer/spain/primera-division-2012-2013/barcelona-atl-madrid-ClHxLWhH/,True,2012-12-16,SP1,2013,spain,Barcelona,Atletico Madrid,4,1,1.37,5.9,9.19,,,,,ClHxLWhH43,43.0,44.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Atletico Madrid,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
220696,ClHxLWhH/,/soccer/spain/primera-division-2012-2013/barcelona-atl-madrid-ClHxLWhH/,True,2012-12-16,SP1,2013,spain,Barcelona,Atletico Madrid,4,1,1.37,5.9,9.19,,,,,ClHxLWhH66,66.0,57.0,"Goal!  Barcelona 3, AtlA©tico de Madrid 1. Lionel Messi (Barcelona) left footed shot from outside the box to the bottom left corner. Assisted by Alexis SA¡nchez.",Attempt,Key Pass,Home,Barcelona,Atletico Madrid,lionel messi,alexis sanchez,,,Bottom left corner,On target,1.0,Outside the box,left foot,Pass,Open play,0.0
220708,ClHxLWhH/,/soccer/spain/primera-division-2012-2013/barcelona-atl-madrid-ClHxLWhH/,True,2012-12-16,SP1,2013,spain,Barcelona,Atletico Madrid,4,1,1.37,5.9,9.19,,,,,ClHxLWhH78,78.0,72.0,Foul by Lionel Messi (Barcelona).,Foul,,Home,Barcelona,Atletico Madrid,lionel messi,,,,,,0.0,,,None,,0.0
220726,ClHxLWhH/,/soccer/spain/primera-division-2012-2013/barcelona-atl-madrid-ClHxLWhH/,True,2012-12-16,SP1,2013,spain,Barcelona,Atletico Madrid,4,1,1.37,5.9,9.19,,,,,ClHxLWhH96,96.0,88.0,"Goal!  Barcelona 4, AtlA©tico de Madrid 1. Lionel Messi (Barcelona) left footed shot from the centre of the box to the centre of the goal.",Attempt,,Home,Barcelona,Atletico Madrid,lionel messi,,,,Centre of the goal,On target,1.0,Centre of the box,left foot,None,Open play,0.0
223660,I7BeELy2/,/soccer/spain/primera-division-2012-2013/valladolid-barcelona-I7BeELy2/,True,2012-12-22,SP1,2013,spain,Real Valladolid,Barcelona,1,3,15.0,6.5,1.31,,,,,I7BeELy27,7.0,10.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Away,Barcelona,Real Valladolid,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
223661,I7BeELy2/,/soccer/spain/primera-division-2012-2013/valladolid-barcelona-I7BeELy2/,True,2012-12-22,SP1,2013,spain,Real Valladolid,Barcelona,1,3,15.0,6.5,1.31,,,,,I7BeELy28,8.0,11.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from outside the box is saved in the bottom right corner.,Attempt,,Away,Barcelona,Real Valladolid,lionel messi,,,,Bottom right corner,On target,0.0,Outside the box,left foot,None,Open play,0.0
223662,I7BeELy2/,/soccer/spain/primera-division-2012-2013/valladolid-barcelona-I7BeELy2/,True,2012-12-22,SP1,2013,spain,Real Valladolid,Barcelona,1,3,15.0,6.5,1.31,,,,,I7BeELy29,9.0,11.0,Attempt blocked. Lionel Messi (Barcelona) left footed shot from outside the box is blocked. Assisted by Dani Alves.,Attempt,Key Pass,Away,Barcelona,Real Valladolid,lionel messi,dani alves,,,Blocked,Blocked,0.0,Outside the box,left foot,Pass,Open play,0.0
223667,I7BeELy2/,/soccer/spain/primera-division-2012-2013/valladolid-barcelona-I7BeELy2/,True,2012-12-22,SP1,2013,spain,Real Valladolid,Barcelona,1,3,15.0,6.5,1.31,,,,,I7BeELy214,14.0,18.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Away,Barcelona,Real Valladolid,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
223672,I7BeELy2/,/soccer/spain/primera-division-2012-2013/valladolid-barcelona-I7BeELy2/,True,2012-12-22,SP1,2013,spain,Real Valladolid,Barcelona,1,3,15.0,6.5,1.31,,,,,I7BeELy219,19.0,26.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Away,Barcelona,Real Valladolid,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
223678,I7BeELy2/,/soccer/spain/primera-division-2012-2013/valladolid-barcelona-I7BeELy2/,True,2012-12-22,SP1,2013,spain,Real Valladolid,Barcelona,1,3,15.0,6.5,1.31,,,,,I7BeELy225,25.0,34.0,Attempt saved. Lionel Messi (Barcelona) header from the centre of the box is saved in the bottom left corner. Assisted by Dani Alves with a cross.,Attempt,Key Pass,Away,Barcelona,Real Valladolid,lionel messi,dani alves,,,Bottom left corner,On target,0.0,Centre of the box,head,Cross,Open play,0.0
223682,I7BeELy2/,/soccer/spain/primera-division-2012-2013/valladolid-barcelona-I7BeELy2/,True,2012-12-22,SP1,2013,spain,Real Valladolid,Barcelona,1,3,15.0,6.5,1.31,,,,,I7BeELy229,29.0,36.0,Lionel Messi (Barcelona) hits the left post with a left footed shot from outside the box from a direct free kick.,Attempt,,Away,Barcelona,Real Valladolid,lionel messi,,,,Hits the bar,Hit the bar,0.0,Outside the box,left foot,None,Free kick,0.0
223695,I7BeELy2/,/soccer/spain/primera-division-2012-2013/valladolid-barcelona-I7BeELy2/,True,2012-12-22,SP1,2013,spain,Real Valladolid,Barcelona,1,3,15.0,6.5,1.31,,,,,I7BeELy242,42.0,59.0,Attempt missed. Lionel Messi (Barcelona) right footed shot from the centre of the box misses to the left.,Attempt,,Away,Barcelona,Real Valladolid,lionel messi,,,,Misses to the left,Off target,0.0,Centre of the box,right foot,None,Open play,0.0
223696,I7BeELy2/,/soccer/spain/primera-division-2012-2013/valladolid-barcelona-I7BeELy2/,True,2012-12-22,SP1,2013,spain,Real Valladolid,Barcelona,1,3,15.0,6.5,1.31,,,,,I7BeELy243,43.0,59.0,"Goal!  Real Valladolid 0, Barcelona 2. Lionel Messi (Barcelona) left footed shot from the centre of the box to the bottom right corner. Assisted by Xavi.",Attempt,Key Pass,Away,Barcelona,Real Valladolid,lionel messi,xavi,,,Bottom right corner,On target,1.0,Centre of the box,left foot,Pass,Open play,0.0
223705,I7BeELy2/,/soccer/spain/primera-division-2012-2013/valladolid-barcelona-I7BeELy2/,True,2012-12-22,SP1,2013,spain,Real Valladolid,Barcelona,1,3,15.0,6.5,1.31,,,,,I7BeELy252,52.0,72.0,Lionel Messi (Barcelona) wins a free kick on the right wing.,Free kick won,,Away,Barcelona,Real Valladolid,lionel messi,,,,,,0.0,Right wing,,None,,0.0
223706,I7BeELy2/,/soccer/spain/primera-division-2012-2013/valladolid-barcelona-I7BeELy2/,True,2012-12-22,SP1,2013,spain,Real Valladolid,Barcelona,1,3,15.0,6.5,1.31,,,,,I7BeELy253,53.0,72.0,"Attempt missed. Lionel Messi (Barcelona) left footed shot from outside the box is close, but misses to the left. Assisted by Dani Alves following a set piece situation.",Attempt,Key Pass,Away,Barcelona,Real Valladolid,lionel messi,dani alves,,,Misses to the left,Off target,0.0,Outside the box,left foot,Pass,Set piece,0.0
226652,ITnWQbL7/,/soccer/spain/primera-division-2012-2013/barcelona-espanyol-ITnWQbL7/,True,2013-01-06,SP1,2013,spain,Barcelona,Espanyol,4,0,1.12,14.0,29.0,,,,,ITnWQbL74,4.0,4.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Espanyol,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
226666,ITnWQbL7/,/soccer/spain/primera-division-2012-2013/barcelona-espanyol-ITnWQbL7/,True,2013-01-06,SP1,2013,spain,Barcelona,Espanyol,4,0,1.12,14.0,29.0,,,,,ITnWQbL718,18.0,15.0,Attempt missed. Lionel Messi (Barcelona) left footed shot from the left side of the six yard box misses to the right. Assisted by Francesc FA¡bregas.,Attempt,Key Pass,Home,Barcelona,Espanyol,lionel messi,cesc fabregas,,,Misses to the right,Off target,0.0,Left side of the six yard box,left foot,Pass,Open play,0.0
226669,ITnWQbL7/,/soccer/spain/primera-division-2012-2013/barcelona-espanyol-ITnWQbL7/,True,2013-01-06,SP1,2013,spain,Barcelona,Espanyol,4,0,1.12,14.0,29.0,,,,,ITnWQbL721,21.0,22.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Espanyol,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
226674,ITnWQbL7/,/soccer/spain/primera-division-2012-2013/barcelona-espanyol-ITnWQbL7/,True,2013-01-06,SP1,2013,spain,Barcelona,Espanyol,4,0,1.12,14.0,29.0,,,,,ITnWQbL726,26.0,29.0,"Goal!  Barcelona 4, Espanyol 0. Lionel Messi (Barcelona) converts the penalty with a left footed shot to the bottom left corner.",Attempt,,Home,Barcelona,Espanyol,lionel messi,,,,Bottom left corner,On target,1.0,Penalty spot,left foot,None,Set piece,0.0
226725,ITnWQbL7/,/soccer/spain/primera-division-2012-2013/barcelona-espanyol-ITnWQbL7/,True,2013-01-06,SP1,2013,spain,Barcelona,Espanyol,4,0,1.12,14.0,29.0,,,,,ITnWQbL777,77.0,81.0,Lionel Messi (Barcelona) hits the bar with a left footed shot from outside the box from a direct free kick.,Attempt,,Home,Barcelona,Espanyol,lionel messi,,,,Hits the bar,Hit the bar,0.0,Outside the box,left foot,None,Free kick,0.0
226730,ITnWQbL7/,/soccer/spain/primera-division-2012-2013/barcelona-espanyol-ITnWQbL7/,True,2013-01-06,SP1,2013,spain,Barcelona,Espanyol,4,0,1.12,14.0,29.0,,,,,ITnWQbL782,82.0,86.0,Attempt missed. Lionel Messi (Barcelona) left footed shot from outside the box is high and wide to the left from a direct free kick.,Attempt,,Home,Barcelona,Espanyol,lionel messi,,,,High and wide,Off target,0.0,Outside the box,left foot,None,Free kick,0.0
